Parent Company,Country,count
SIME DARBY PLANTATION BHD,Malaysia,30
FGV PALM INDUSTRIES SDN BHD,Malaysia,28
PERKEBUNAN NUSANTARA IV,Indonesia,16
PERKEBUNAN NUSANTARA III,Indonesia,12
PERKEBUNAN NUSANTARA V,Indonesia,12
SOCFIN INDONESIA,Indonesia,9
IOI CORPORATION BHD,Malaysia,8
NEW BRITAIN PALM OIL,Papua New Guinea,7
KUALA LUMPUR KEPONG BHD,Malaysia,7
KRESNA DUTA AGROINDO,Indonesia,6
UNITED PLANTATIONS BHD,Malaysia,4
KL-KEPONG (SABAH) SDN BHD,Malaysia,4
DHARMA SATYA NUSANTARA,Indonesia,4
SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,4
TAPIAN NADENGGAN,Indonesia,4
PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA,Indonesia,4
FELCRA PROCESSING & ENGINEERING SDN BHD,Malaysia,4
PERKEBUNAN NUSANTARA XIII,Indonesia,4
PERKEBUNAN NUSANTARA II,Indonesia,4
PERKEBUNAN NUSANTARA VII,Indonesia,4
AGROPALMA,Brazil,3
HARGY OIL PALM LTD,Papua New Guinea,3
MUSIM MAS HOLDINGS PTE LTD,Indonesia,3
HINDOLI,Indonesia,3
INTI INDOSAWIT SUBUR,Indonesia,3
ADEI PLANTATION AND INDUSTRY,Indonesia,3
KULA PALM OIL LTD - HIGATURU OIL PALMS,Papua New Guinea,3
IVO MAS TUNGGAL,Indonesia,3
AGROPECUARIA SANTA MARIA S.A.,Colombia,3
SINAR KENCANA INTI PERKASA,Indonesia,3
PADASA ENAM UTAMA,Indonesia,3
PERKEBUNAN NUSANTARA I,Indonesia,3
SUMBER TANI AGUNG,Indonesia,3
PERKEBUNAN NUSANTARA VI,Indonesia,3
EPA MANAGEMENT SDN BHD,Malaysia,2
SUKAJADI SAWIT MEKAR,Indonesia,2
BHUMIREKSA NUSA SEJATI,Indonesia,2
LAGUNA MANDIRI,Indonesia,2
BOUSTEAD PLANTATIONS BHD,Malaysia,2
JEROCO PLANTATIONS SDN BHD,Malaysia,2
BUANA WIRALESTARI MAS,Indonesia,2
BINASAWIT ABADI PRATAMA,Indonesia,2
MAHAMURNI PLANTATIONS SDN BHD,Malaysia,2
AGRO MUKO,Indonesia,2
SUMBER INDAH PERKASA,Indonesia,2
EXTRACTORA LA FRANCIA / AGROCARIBE,Guatemala,2
SAWIT MAS SEJAHTERA,Indonesia,2
GUNTUNG IDAMAN NUSA,Indonesia,2
SIPEFCI,Côte d'Ivoire,2
AGRO INDOMAS,Indonesia,2
COMPAÑÍA INDUSTRIAL ACEITERA COTO 54 S.A.,Costa Rica,2
NATURACEITES S.A.,Guatemala,2
LAM SOON PLANTATIONS SDN BHD,Malaysia,2
TRI BAKTI SARIMAS,Indonesia,2
PERKEBUNAN LEMBAH BHAKTI,Indonesia,2
ABDI BUDI MULIA,Indonesia,2
MOPOLI RAYA,Indonesia,2
SURYA AGROLIKA REKSA,Indonesia,2
TASMA PUJA,Indonesia,2
TRI BAHTERA SRIKANDI,Indonesia,2
BERLIAN INTI MEKAR,Indonesia,2
KARYA AGUNG SAWITA,Indonesia,2
NAGAMAS AGRO MULIA,Indonesia,2
SARI LEMBAH SUBUR,Indonesia,2
BENGKULU SAWIT LESTARI,Indonesia,2
TEGUH KARSA WANALESTARI,Indonesia,2
KEMILAU PERMATA SAWIT,Indonesia,2
SOUTHERN REALTY (MALAYA) SDN BHD,Malaysia,2
ENSEM LESTARI,Indonesia,2
UNKNOWN,Indonesia,2
PAMOL ESTATES (SABAH) SDN BHD,Malaysia,1
AGRO WIRATAMA,Indonesia,1
SAREMAS SDN BHD,Malaysia,1
EASTERN SUMATERA INDONESIA,Indonesia,1
TOLAN TIGA INDONESIA,Indonesia,1
RAMU AGRI INDUSTRIES,Papua New Guinea,1
SIME INDO AGRO,Indonesia,1
