UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000000017,"2019,2021",AGROPALMA,AGROPALMA,CPA,Not RSPO Certified,,3/31/23,-2.25,-48.59,"-2.253539, -48.58567",BRA,Brazil,Pará,Acará,1-Fully Verified,,389.44,38943.99,388.45,650.07,65007.27,9.75,975.33,2.37,237.42,0.55,54.72,1.82,182.43,3.03,302.85,2.44,243.9,2.28,227.97,2.72,272.16,2.78,278.1,4.76,476.46,7.56,755.82,1.21,121.05,4.69,468.54,1.58,158.13,12.22,1221.57,9.96,996.48,9.78,978.03,10.2,1020.24,6.45,644.58,4.15,414.54,2.15,214.92,2.11,210.6,104.56,0.27,284.88,0.73,2,2,3
PO1000000019,"2019,2020",KULIM (MALAYSIA) BERHAD,EPA MANAGEMENT SDN BHD,SEDENAK,RSPO Certified,"RSPO Certified, MB",3/31/23,1.73,103.54,"1.730858, 103.538323",MYS,Malaysia,Johor,Kulaijaya,1-Fully Verified,,127.47,12747.33,167.86,239.16,23916.33,9.14,913.77,3.81,381.15,0.51,50.85,4.87,486.99,5.8,579.87,7.29,729.36,3.02,301.5,1.03,102.6,6.85,684.63,2.19,219.42,4.71,471.42,5.54,553.5,4.52,452.25,5.38,538.2,5.15,514.53,3.08,307.53,5.47,546.93,4.72,472.41,3.83,383.04,3,300.24,3.21,321.48,1.63,162.72,94.74,0.74,32.73,0.26,3,4,3
PO1000000020,"2020,2021,2018,2019",NBPOL,NEW BRITAIN PALM OIL,MOSA,RSPO Certified,"RSPO Certified, IP",3/31/23,-5.62,150.24,"-5.6225, 150.23735",PNG,Papua New Guinea,West New Britain,Talasea,1-Fully Verified,,1785.92,178592.49,1605.13,2928.42,292841.73,0.66,65.88,6.57,656.91,5.78,578.07,8.81,881.28,1.37,136.89,6.24,623.52,7.46,746.01,8.3,830.25,4.28,428.04,3.65,365.4,2.1,210.24,5.09,509.31,3.54,354.33,6.25,624.51,13.35,1335.24,2.23,222.57,1.86,185.76,2.15,214.56,5.71,570.51,7.76,775.62,8.21,820.62,7.76,775.8,119.11,0.07,1666.81,0.93,2,1,3
PO1000000052,"2020,2021",IOI CORPORATION,PAMOL ESTATES (SABAH) SDN BHD,PAMOL SABAH,RSPO Certified,"RSPO Certified, IP",3/31/23,6,117.4,"6.002431, 117.398389",MYS,Malaysia,Sabah,Beluran,1-Fully Verified,,308.27,30826.89,362.13,1390.24,139023.54,18.55,1854.81,12.21,1221.39,0.86,85.5,4.86,485.55,2.82,281.79,5.1,510.39,2.04,204.21,5.13,512.73,5.11,510.66,23.95,2394.54,7.4,739.62,8.29,829.08,9.24,924.12,36.57,3656.61,11.51,1151.37,25.91,2591.46,14.37,1436.58,13.53,1352.79,11.6,1159.83,12.73,1273.05,2.65,265.32,4.37,436.59,238.78,0.77,69.49,0.23,3,4,2
PO1000000053,"2021,2018,2019,2020",SIPEF,HARGY OIL PALM LTD,HARGY MILL,RSPO Certified,"RSPO Certified, IP",3/31/23,-5.31,151.01,"-5.311111, 151.01097",PNG,Papua New Guinea,West New Britain,Talasea,1-Fully Verified,,1140.83,114082.92,1083.3,2538.68,253867.68,3.37,337.23,4.95,495.18,3.22,321.75,3.7,369.72,3.19,319.14,3.41,341.37,2.27,227.43,3.09,309.42,1.35,135,4.59,459.36,1.71,170.55,2.08,207.54,2.47,246.78,2.72,271.89,8.33,833.13,2.93,293.31,8.74,874.26,8.47,847.26,4.97,497.07,4.67,466.65,6.4,640.08,14.17,1416.78,100.81,0.09,1040.02,0.91,3,1,3
PO1000000054,"2020,2018,2021,2017,2019",MUSIM MAS,MUSIM MAS HOLDINGS PTE LTD,BATANG KULIM,RSPO Certified,"RSPO Certified, IP",3/31/23,0.08,102.03,"0.077043, 102.030838",IDN,Indonesia,Riau,Pelalawan,1-Fully Verified,,269.21,26921.07,301.76,580.02,58002.21,18.71,1870.65,6.7,670.05,1.32,131.58,26.77,2677.41,10.76,1076.31,0.83,83.34,5.95,594.9,16.44,1644.3,7.88,788.31,12.27,1226.7,13.08,1307.7,11.36,1135.98,11.83,1183.41,10.13,1012.68,2.5,250.38,13.61,1360.53,3.26,325.53,8.23,823.23,16.6,1660.05,13.62,1362.33,5.11,511.47,9.88,987.75,226.85,0.84,42.36,0.16,4,5,3
PO1000000058,"2019,2020,2017,2021",CARGILL,HINDOLI,SUNGAI LILIN,RSPO Certified,"RSPO Certified, IP",3/31/23,-2.61,104.13,"-2.612778, 104.128242",IDN,Indonesia,Sumatera Selatan,Musi Banyuasin,2-High Confidence,,68.87,6886.89,124.11,220.17,22016.7,0.6,59.76,1.03,102.87,0.65,65.34,2.83,283.14,1.15,114.66,1.99,198.54,1.69,169.02,3.07,306.63,1.52,151.83,0.61,61.29,2.39,238.95,7.22,722.07,0.73,72.9,3.95,394.56,3.75,374.67,3.47,346.68,2.07,207.09,2.58,257.94,2.51,250.65,1.66,165.51,1.61,161.01,2.63,263.07,49.68,0.72,19.19,0.28,4,4,3
PO1000000063,"2018,2021,2020,2017",SIME DARBY,SIME DARBY PLANTATION BHD,BINUANG (SOU 28),RSPO Certified,"RSPO Certified, IP",3/31/23,4.7,118.06,"4.704457, 118.060186",MYS,Malaysia,Sabah,Kunak,1-Fully Verified,,211.54,21154.32,206.7,291.34,29133.72,0.73,73.08,7.24,724.5,0.79,78.84,2.64,264.42,7.55,755.37,1.87,187.2,6.57,657.36,6.45,645.21,5.63,562.68,6.67,667.08,1.92,191.7,3,299.88,2.16,216.27,7.79,778.86,10.64,1063.62,6.28,628.11,5.11,511.02,7.19,718.83,3.69,369,4.16,415.98,2.62,261.54,2.49,248.85,103.19,0.49,108.35,0.51,3,3,3
PO1000000092,2020,MUSIM MAS,AGRO WIRATAMA,AGROWIRATAMA,RSPO Certified,"RSPO Certified, IP",3/31/23,0.2,99.63,"0.198958, 99.626589",IDN,Indonesia,Sumatera Barat,Pasaman Barat,1-Fully Verified,,302.23,30222.54,384.31,775.35,77534.64,9.32,932.4,11.3,1130.22,2.01,201.42,11.3,1130.49,14.39,1439.28,6.08,607.59,6.24,624.42,7.7,770.4,12.3,1230.3,4.33,432.54,13.43,1342.8,4.36,436.23,11.36,1135.53,15.05,1505.16,6.33,633.42,5.86,586.44,11.08,1108.17,15.27,1527.39,15.48,1548.18,21.46,2145.87,18.84,1883.88,7.98,798.03,231.5,0.77,70.72,0.23,5,4,3
PO1000000093,"2020,2021,2017",WILMAR GROUP,SAREMAS SDN BHD,SAREMAS 2,RSPO Certified,"RSPO Certified, IP",3/31/23,3.45,113.77,"3.450453, 113.765561",MYS,Malaysia,Sarawak,Miri,1-Fully Verified,,159.57,15957.45,206.97,287.06,28706.49,4.41,441,8.5,850.41,8.34,834.39,1.74,173.7,0.85,85.32,1.01,100.71,1.83,182.97,5.29,529.11,16.23,1622.7,2.47,247.41,1.33,132.57,1.2,119.97,0.36,35.91,1.8,180,8.64,864.09,11.77,1176.84,2.39,239.31,12.83,1283.13,13.13,1312.83,13.53,1352.79,18.79,1879.11,6.09,609.21,142.53,0.89,17.04,0.11,5,5,4
