Parent Company,Country,count
FGV PALM INDUSTRIES SDN BHD,Malaysia,72
SIME DARBY PLANTATION BHD,Malaysia,37
PERKEBUNAN NUSANTARA IV,Indonesia,16
PERKEBUNAN NUSANTARA III,Indonesia,12
PERKEBUNAN NUSANTARA V,Indonesia,12
IOI CORPORATION BHD,Malaysia,10
INTI INDOSAWIT SUBUR,Indonesia,9
KUALA LUMPUR KEPONG BHD,Malaysia,9
SOCFIN INDONESIA,Indonesia,9
NEW BRITAIN PALM OIL,Papua New Guinea,7
SAWIT KINABALU SDN BHD,Malaysia,7
GENTING SDC SDN BHD,Malaysia,7
SARAWAK OIL PALMS BHD,Malaysia,7
PERKEBUNAN NUSANTARA XIII,Indonesia,7
PERKEBUNAN NUSANTARA VI,Indonesia,7
KL-KEPONG (SABAH) SDN BHD,Malaysia,6
DHARMA SATYA NUSANTARA,Indonesia,6
KRESNA DUTA AGROINDO,Indonesia,6
FELCRA PROCESSING & ENGINEERING SDN BHD,Malaysia,6
PERKEBUNAN NUSANTARA VII,Indonesia,6
TH INDO PLANTATIONS,Indonesia,6
UNITED PLANTATIONS BHD,Malaysia,5
PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA,Indonesia,5
TUNAS BARU LAMPUNG,Indonesia,4
SINAR MAS AGRO RESOURCES AND TECHNOLOGY,Indonesia,4
TAPIAN NADENGGAN,Indonesia,4
IJM EDIBLE OILS SDN BHD,Malaysia,4
PERKEBUNAN NUSANTARA II,Indonesia,4
UNKNOWN,Indonesia,4
HARGY OIL PALM LTD,Papua New Guinea,3
MUSIM MAS HOLDINGS PTE LTD,Indonesia,3
HINDOLI,Indonesia,3
BOUSTEAD PLANTATIONS BHD,Malaysia,3
ADEI PLANTATION AND INDUSTRY,Indonesia,3
KULA PALM OIL LTD - HIGATURU OIL PALMS,Papua New Guinea,3
UNIVANICH PALM OIL PUBLIC COMPANY LTD,Thailand,3
IVO MAS TUNGGAL,Indonesia,3
GAWI MAKMUR KALIMANTAN,Indonesia,3
SUPRA MATRA ABADI,Indonesia,3
AGRO INDOMAS,Indonesia,3
COMPAÑÍA INDUSTRIAL ACEITERA COTO 54 S.A.,Costa Rica,3
KWANTAS OIL SDN BHD,Malaysia,3
NATURACEITES S.A.,Guatemala,3
RISDA ESTATES SDN BHD,Malaysia,3
WOODMAN KUALA BARAM ESTATES SDN BHD,Malaysia,3
AGROPECUARIA SANTA MARIA S.A.,Colombia,3
ERASAKTI WIRA FORESTAMA,Indonesia,3
SINAR KENCANA INTI PERKASA,Indonesia,3
PADASA ENAM UTAMA,Indonesia,3
AGRINDO INDAH PERSADA,Indonesia,3
PERKEBUNAN NUSANTARA I,Indonesia,3
CITRA RIAU SARANA,Indonesia,3
TOR GANDA,Indonesia,3
SUMBER TANI AGUNG,Indonesia,3
SAMLING PLANTATION SDN BHD,Malaysia,3
TSH PLANTATION MANAGEMENT SDN BHD,Malaysia,3
EPA MANAGEMENT SDN BHD,Malaysia,2
SABAHMAS PLANTATION SDN BHD,Malaysia,2
SAREMAS SDN BHD,Malaysia,2
SUKAJADI SAWIT MEKAR,Indonesia,2
SAPI PLANTATION SDN BHD,Malaysia,2
REA KALTIM,Indonesia,2
MUSTIKA SEMBULUH,Indonesia,2
KERRY SAWIT INDONESIA,Indonesia,2
HAP SENG PLANTATIONS (RIVER ESTATES) SDN BHD,Malaysia,2
BHUMIREKSA NUSA SEJATI,Indonesia,2
LAGUNA MANDIRI,Indonesia,2
SAJANG HEULANG,Indonesia,2
PERKEBUNAN MILANO,Indonesia,2
SARANA TITIAN PERMATA,Indonesia,2
JEROCO PLANTATIONS SDN BHD,Malaysia,2
TDM PLANTATION SDN BHD,Malaysia,2
BUANA WIRALESTARI MAS,Indonesia,2
BINASAWIT ABADI PRATAMA,Indonesia,2
MAHAMURNI PLANTATIONS SDN BHD,Malaysia,2
AGRO MUKO,Indonesia,2
SUMBER INDAH PERKASA,Indonesia,2
EXTRACTORA LA FRANCIA / AGROCARIBE,Guatemala,2
SAWIT MAS SEJAHTERA,Indonesia,2
RIGUNAS AGRI UTAMA,Indonesia,2
AGRONUSA INVESTAMA,Indonesia,2
SAWIT SUMBERMAS SARANA,Indonesia,2
GUNTUNG IDAMAN NUSA,Indonesia,2
SIPEFCI,Côte d'Ivoire,2
MERIDAN SEJATISURYA PLANTATION,Indonesia,2
AGRO BUKIT,Indonesia,2
SYARIKAT KRETAM MILL SDN BHD,Malaysia,2
MITRA ANEKA REZEKI,Indonesia,2
BOUSTEAD RIMBA NILAI SDN BHD,Malaysia,2
KILANG KELAPA SAWIT SELUMPUR SDN BHD,Malaysia,2
DUPONT & LEOSK ENTERPRISES SDN BHD,Malaysia,2
HOK HUAT OIL MILL SDN BHD,Malaysia,2
KIAN HOE PLANTATIONS BHD,Malaysia,2
LAM SOON PLANTATIONS SDN BHD,Malaysia,2
PERTUBUHAN PELADANG NEGERI JOHOR (PPNJ),Malaysia,2
QL PLANTATION SDN BHD,Malaysia,2
SRI GANDA OIL MILL SDN BHD,Malaysia,2
SEONG THYE PLANTATIONS SDN BHD,Malaysia,2
SARAWAK PLANTATION AGRICULTURE DEVELOPMENT (SPAD) SDN BHD,Malaysia,2
TACLICO COMPANY SDN BHD,Malaysia,2
THP SARIBAS SDN BHD,Malaysia,2
TH PLANTATIONS BHD,Malaysia,2
THP SABACO SDN BHD,Malaysia,2
LADANG PERMAI SDN BHD,Malaysia,2
LADANG PETRI TENGGARA SDN BHD,Malaysia,2
EXPORTADORA DEL ATLANTICO (DINANT),Honduras,2
INDUSTRIAS DEL ESPINO S.A.,Peru,2
BUMI MENTARI KARYA,Indonesia,2
DARIA DHARMA PRATAMA,Indonesia,2
ANTANG GANDA UTAMA,Indonesia,2
TRI BAKTI SARIMAS,Indonesia,2
SURYARAYA LESTARI,Indonesia,2
MITRA UNGGUL PUSAKA,Indonesia,2
PERKEBUNAN LEMBAH BHAKTI,Indonesia,2
SUMATERA JAYA AGRO LESTARI,Indonesia,2
SUBUR ARUM MAKMUR,Indonesia,2
HUTAHAEAN,Indonesia,2
SUMBER JAYA INDAHNUSA COY,Indonesia,2
PERDANA INTISAWIT PERKASA,Indonesia,2
ABDI BUDI MULIA,Indonesia,2
MOPOLI RAYA,Indonesia,2
SURYA AGROLIKA REKSA,Indonesia,2
SWASTISIDDHI AMAGRA,Indonesia,2
BERKAT SAWIT SEJAHTERA,Indonesia,2
TASMA PUJA,Indonesia,2
TRI BAHTERA SRIKANDI,Indonesia,2
BERLIAN INTI MEKAR,Indonesia,2
KARYA AGUNG SAWITA,Indonesia,2
NAGAMAS AGRO MULIA,Indonesia,2
TELEN,Indonesia,2
INCASI RAYA,Indonesia,2
MURINI SAMSAM,Indonesia,2
LANGKAT NUSANTARA KEPONG,Indonesia,2
SARI ADITYA LOKA,Indonesia,2
SUMBER MAKMUR JAYA,Indonesia,2
CHIN TECK PLANTATIONS BHD,Malaysia,2
TETANGGA AKRAB SDN BHD,Malaysia,2
BINA PRATAMA SAKOTO JAYA,Indonesia,2
SARI LEMBAH SUBUR,Indonesia,2
ACEITES MANUELITA,Colombia,2
BENGKULU SAWIT LESTARI,Indonesia,2
TEGUH KARSA WANALESTARI,Indonesia,2
SUMATERA MAKMUR LESTARI,Indonesia,2
KEMILAU PERMATA SAWIT,Indonesia,2
SOUTHERN REALTY (MALAYA) SDN BHD,Malaysia,2
BANYU KAHURIPAN INDONESIA,Indonesia,2
SINAR JAYA INTI MULYA,Indonesia,2
BINTULU LUMBER DEVELOPMENT SDN BHD,Malaysia,2
ENSEM LESTARI,Indonesia,2
SMOTHONG PALMOIL CO.,Thailand,2
AGUMIL PHILIPPINES,Philippines,2
PERMATA NUSA SEJATI,Indonesia,2
