UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000000017,2020,AGROPALMA,AGROPALMA,CPA,Not RSPO Certified,,3/31/23,-2.25,-48.59,"-2.253539, -48.58567",BRA,Brazil,Pará,Acará,1-Fully Verified,,389.44,38943.99,388.45,650.07,65007.27,9.75,975.33,2.37,237.42,0.55,54.72,1.82,182.43,3.03,302.85,2.44,243.9,2.28,227.97,2.72,272.16,2.78,278.1,4.76,476.46,7.56,755.82,1.21,121.05,4.69,468.54,1.58,158.13,12.22,1221.57,9.96,996.48,9.78,978.03,10.2,1020.24,6.45,644.58,4.15,414.54,2.15,214.92,2.11,210.6,104.56,0.27,284.88,0.73,2,2,3
PO1000000019,"2020,2019,2021",KULIM (MALAYSIA) BERHAD,EPA MANAGEMENT SDN BHD,SEDENAK,RSPO Certified,"RSPO Certified, MB",3/31/23,1.73,103.54,"1.730858, 103.538323",MYS,Malaysia,Johor,Kulaijaya,1-Fully Verified,,127.47,12747.33,167.86,239.16,23916.33,9.14,913.77,3.81,381.15,0.51,50.85,4.87,486.99,5.8,579.87,7.29,729.36,3.02,301.5,1.03,102.6,6.85,684.63,2.19,219.42,4.71,471.42,5.54,553.5,4.52,452.25,5.38,538.2,5.15,514.53,3.08,307.53,5.47,546.93,4.72,472.41,3.83,383.04,3,300.24,3.21,321.48,1.63,162.72,94.74,0.74,32.73,0.26,3,4,3
PO1000000021,"2020,2021,2019",ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,BUATAN I,RSPO Certified,"RSPO Certified, MB",3/31/23,0.43,101.82,"0.4344444, 101.825",IDN,Indonesia,Riau,Siak,2-High Confidence,,80.21,8021.25,120.01,356.38,35637.57,2.16,216.45,3.62,361.62,0.17,17.19,1.72,171.72,1.51,150.75,1.3,130.05,0.7,70.38,1.21,121.05,0.24,23.67,6.64,663.66,2.41,240.75,1.45,145.44,0.5,50.31,4.3,430.2,0.51,50.85,4.91,491.13,1.85,185.31,1.94,193.5,4.68,468.18,7.27,726.75,1.13,112.95,1,99.72,51.22,0.64,29,0.36,3,4,3
PO1000000052,"2020,2019,2021",IOI CORPORATION,PAMOL ESTATES (SABAH) SDN BHD,PAMOL SABAH,RSPO Certified,"RSPO Certified, IP",3/31/23,6,117.4,"6.002431, 117.398389",MYS,Malaysia,Sabah,Beluran,1-Fully Verified,,308.27,30826.89,362.13,1390.24,139023.54,18.55,1854.81,12.21,1221.39,0.86,85.5,4.86,485.55,2.82,281.79,5.1,510.39,2.04,204.21,5.13,512.73,5.11,510.66,23.95,2394.54,7.4,739.62,8.29,829.08,9.24,924.12,36.57,3656.61,11.51,1151.37,25.91,2591.46,14.37,1436.58,13.53,1352.79,11.6,1159.83,12.73,1273.05,2.65,265.32,4.37,436.59,238.78,0.77,69.49,0.23,3,4,2
PO1000000053,2020,SIPEF,HARGY OIL PALM LTD,HARGY MILL,RSPO Certified,"RSPO Certified, IP",3/31/23,-5.31,151.01,"-5.311111, 151.01097",PNG,Papua New Guinea,West New Britain,Talasea,1-Fully Verified,,1140.83,114082.92,1083.3,2538.68,253867.68,3.37,337.23,4.95,495.18,3.22,321.75,3.7,369.72,3.19,319.14,3.41,341.37,2.27,227.43,3.09,309.42,1.35,135,4.59,459.36,1.71,170.55,2.08,207.54,2.47,246.78,2.72,271.89,8.33,833.13,2.93,293.31,8.74,874.26,8.47,847.26,4.97,497.07,4.67,466.65,6.4,640.08,14.17,1416.78,100.81,0.09,1040.02,0.91,3,1,3
PO1000000054,"2020,2021,2019",MUSIM MAS,MUSIM MAS HOLDINGS PTE LTD,BATANG KULIM,RSPO Certified,"RSPO Certified, IP",3/31/23,0.08,102.03,"0.077043, 102.030838",IDN,Indonesia,Riau,Pelalawan,1-Fully Verified,,269.21,26921.07,301.76,580.02,58002.21,18.71,1870.65,6.7,670.05,1.32,131.58,26.77,2677.41,10.76,1076.31,0.83,83.34,5.95,594.9,16.44,1644.3,7.88,788.31,12.27,1226.7,13.08,1307.7,11.36,1135.98,11.83,1183.41,10.13,1012.68,2.5,250.38,13.61,1360.53,3.26,325.53,8.23,823.23,16.6,1660.05,13.62,1362.33,5.11,511.47,9.88,987.75,226.85,0.84,42.36,0.16,4,5,3
PO1000000058,"2019,2020,2021",CARGILL,HINDOLI,SUNGAI LILIN,RSPO Certified,"RSPO Certified, IP",3/31/23,-2.61,104.13,"-2.612778, 104.128242",IDN,Indonesia,Sumatera Selatan,Musi Banyuasin,2-High Confidence,,68.87,6886.89,124.11,220.17,22016.7,0.6,59.76,1.03,102.87,0.65,65.34,2.83,283.14,1.15,114.66,1.99,198.54,1.69,169.02,3.07,306.63,1.52,151.83,0.61,61.29,2.39,238.95,7.22,722.07,0.73,72.9,3.95,394.56,3.75,374.67,3.47,346.68,2.07,207.09,2.58,257.94,2.51,250.65,1.66,165.51,1.61,161.01,2.63,263.07,49.68,0.72,19.19,0.28,4,4,3
PO1000000063,"2021,2020,2019",SIME DARBY,SIME DARBY PLANTATION BHD,BINUANG (SOU 28),RSPO Certified,"RSPO Certified, IP",3/31/23,4.7,118.06,"4.704457, 118.060186",MYS,Malaysia,Sabah,Kunak,1-Fully Verified,,211.54,21154.32,206.7,291.34,29133.72,0.73,73.08,7.24,724.5,0.79,78.84,2.64,264.42,7.55,755.37,1.87,187.2,6.57,657.36,6.45,645.21,5.63,562.68,6.67,667.08,1.92,191.7,3,299.88,2.16,216.27,7.79,778.86,10.64,1063.62,6.28,628.11,5.11,511.02,7.19,718.83,3.69,369,4.16,415.98,2.62,261.54,2.49,248.85,103.19,0.49,108.35,0.51,3,3,3
PO1000000064,"2020,2019,2021",SIME DARBY,SIME DARBY PLANTATION BHD,MEROTAI (SOU 30),RSPO Certified,"RSPO Certified, MB",3/31/23,4.37,117.83,"4.369347, 117.832905",MYS,Malaysia,Sabah,Tawau,1-Fully Verified,,478.64,47864.25,585.77,938.88,93888.09,8.17,817.11,3.94,394.38,0.57,56.52,4.93,492.75,5.46,545.94,4.55,454.86,7.62,762.03,8.19,819,16.17,1616.94,6.83,683.19,4.19,419.04,1.46,145.62,0.43,42.93,2.66,265.5,4.76,475.92,8.18,818.01,8.82,881.82,8.02,801.54,7.12,712.08,7.09,708.75,12.38,1237.95,12.48,1248.03,144,0.3,334.64,0.7,4,2,4
PO1000000065,"2020,2021,2019",SIME DARBY,SIME DARBY PLANTATION BHD,SANDAKAN BAY (SOU 26),RSPO Certified,"RSPO Certified, MB",3/31/23,5.64,118.17,"5.641362, 118.166868",MYS,Malaysia,Sabah,Sandakan,1-Fully Verified,,317.63,31762.71,334.5,777.85,77785.11,0.62,61.83,0.41,40.86,0.19,18.72,1.7,170.19,2.58,257.94,0.92,91.89,0.17,17.01,2.17,216.54,2.51,251.28,11.59,1158.84,7.4,740.43,11.03,1103.04,4.54,454.41,8.32,831.87,12.9,1289.97,3.94,394.2,13.61,1361.07,12.57,1257.03,12.18,1218.24,11.11,1111.14,9.31,931.23,7.61,760.68,137.38,0.43,180.24,0.57,4,3,4
